,Timestamp,Latitude,Longitude,Latitude(Radians),Longitude(Radians),Diff_Lat,Diff_Lon,Distance(km),Speed(km/hr)
0,1578250809,-18.229,-117.7858,-0.31815606934604634,-2.0557500220955367,,,,
1,1578250815,-18.4982,-117.5638,-0.3228544956924151,-2.0518753911561096,-0.004698426346368745,0.0038746309394270817,40.39845647702612,29086.88866345881
2,1578250820,-18.7671,-117.3411,-0.3275476860510278,-2.0479885429119182,-0.004693190358612709,0.0038868482441913876,40.39479503983007,29084.25242867765
3,1578250826,-19.0358,-117.1175,-0.33223738575113654,-2.044085986704459,-0.00468969970010874,0.0039025562074592735,40.413848137466694,29097.970658976017
4,1578250831,-19.304,-116.8932,-0.33691835880498533,-2.0401712131922354,-0.0046809730538487915,0.003914773512223579,40.390830801782684,29081.398177283532
5,1578250837,-19.5719,-116.6681,-0.3415940958710782,-2.036242477045996,-0.0046757370660928665,0.003928736146239231,40.392906310710224,29082.89254371136
6,1578250843,-19.8637,-116.4215,-0.34668696662839765,-2.031938495110578,-0.0050928707573194565,0.004303981935418033,44.065070577138364,31726.85081553962
7,1578250848,-20.1309,-116.1947,-0.3513504863897265,-2.0279800883670553,-0.004663519761328838,0.003958406743522769,40.391109257980574,29081.598665746013
8,1578250854,-20.422,-115.9462,-0.356431139842282,-2.0236429451758493,-0.005080653452555484,0.004337143191206039,44.071187807028544,31731.25522106055
9,1578250860,-20.6884,-115.7175,-0.3610806969695949,-2.0196513771765385,-0.004649557127312909,0.0039915679993107744,40.392189263562344,29082.376269764885
10,1578250865,-20.9544,-115.488,-0.3657232727798998,-2.015645846543211,-0.004642575810304916,0.004005530633327314,40.38296638246512,29075.735795374887
